Beach_ID,Beach_Name,Station_ID,Latitude,Longitude,Abbv_Name
1,"River Ave.",RABCH001,40.088467,-74.073058,RivAve
2,"Windward",RABCH002,40.056611,-74.111469,Windward
3,"Money Island",RABCH003,39.948419,-74.163247,MnyIsnd
4,"Wreck Pond",RABCH004,40.13838175,-74.02613091,WrPnd
5,"Shark River Beach and Yacht Club",RABCH014,40.190758,-74.038703,SRBYC
6,"Deal Lake",RABCH006,40.230614,-73.998006,DealLk
7,"Lake Takanassee",RABCH007,40.276403,-73.984628,LkTak
8,"L Street Beach in Belmar",RABCH005,40.177945,-74.033912,LStBeach
11,"Lincoln Ave - Atlantic City",RABCH008,39.345993,-74.452998,LincolnAve
12,"States Ave - Atlantic City",RABCH009,39.358644,-74.416982,StatesAve
13,"26th St - Brigantine",RABCH010,39.399447,-74.384901,26thSt
14,"33rd St - Longport",RABCH011,39.315144,-74.517482,33rdSt
15,"Beachwood Beach",RABCH015,39.942531,-74.184731,BchwdBch
16,"Barnegat Bathing",RABCH012,39.754222,-74.190775,BangtBath
17,"Parkertown",RABCH013,39.609819,-74.292072,Prkrtwn
20,"Cape May Point",RABCH016,38.931568,-74.96005,CapeMayPt
21,"Sea Isle City",RABCH017,39.153812,-74.692239,SeaIsleCity
22,"Bayonne",RABCH018,40.654477,-74.095734,Bayonne
23,"Jersey City",RABCH019,40.723953,-74.051757,JerseyCity
24,"Wildwood",RABCH020,38.991778,-74.81492,Wildwood
25,"Ocean City",RABCH021,39.273842,-74.577423,OC
26,"Highlands",RABCH022,40.40607383,-73.99541624,Highlands
27,"Ideal Beach",RABCH023,40.443265,-74.112956,IdealBeach
28,"Wildwood Gables",RABCH025,38.96968527,-74.83831816,Gables
29,"Cape May City",RABCH024,38.93198755,-74.91279184,CMCity
30,"Stone Harbor",RABCH026,39.05321744,-74.7618228,StnHrbr
31,"Avalon",RABCH027,39.09876072,-74.71993444,Avalon
32,"Palermo",RABCH028,39.23178883,-74.63161097,Palermo
33,"Surf City",RABCH029,39.65393212,-74.17430941,SurfCity
34,"IBSP 1",RABCH030,39.85259733,-74.08542592,IBSP1
35,"Seaside Heights",RABCH031,39.94741387,-74.0698889,SeaHgts
36,"North Beach Haven",RABCH032,39.57085249,-74.23354388,NrthBchHavn
